15:07:00.777:08811		 0.08811
15:07:00.777:08811		 0.08811
15:07:00.777:08811		 0.08811
15:07:00.797:	 		 0.08811
15:07:00.797:	 		 0.08811
15:07:00.797:	 		 0.08811
15:07:00.817:	 		 0.08811
15:07:00.817:	 		 0.08811
15:07:00.817:	 		 0.08811
15:07:00.827:	 		 0.08811
15:07:00.827:	 		 0.08811
15:07:00.827:	 		 0.08811
15:07:00.847:	 		 0.08811
15:07:00.847:	 		 0.08811
15:07:00.847:	 		 0.08811
15:07:00.857:	 		 0.08811
15:07:00.857:	 		 0.08811
15:07:00.857:	 		 0.08811
15:07:00.877:	 		 0.08811
15:07:00.877:	 		 0.08811
15:07:00.877:	 		 0.08811
15:07:00.897:	 		 0.08811
15:07:00.897:	 		 0.08811
15:07:00.897:	 		 0.08811
15:07:00.927:	 		 0.08811
15:07:00.927:	 		 0.08811
15:07:00.927:	 		 0.08811
15:07:00.927:	 		 0.08811
15:07:00.927:	 		 0.08811
15:07:00.927:	 		 0.08811
15:07:00.927:	 		 0.08811
15:07:00.937:	 		 0.08811
15:07:00.937:	 		 0.08811
15:07:00.937:	 		 0.08811
15:07:00.957:	 		 0.08811
15:07:00.957:	 		 0.08811
15:07:00.957:	 		 0.08811
15:07:00.967:	 		 0.08811
15:07:00.967:	 		 0.08811
15:07:00.967:	 		 0.08811
15:07:01.007:	 		 0.08811
15:07:01.007:	 		 0.08811
15:07:01.007:	 		 0.08811
15:07:01.007:	 		 0.08811
15:07:01.007:	 		 0.08811
15:07:01.007:	 		 0.08811
15:07:01.007:	 		 0.08811
15:07:01.017:	 		 0.08811
15:07:01.017:	 		 0.08811
15:07:01.017:	 		 0.08811
15:07:01.037:	 		 0.08811
15:07:01.037:	 		 0.08811
15:07:01.037:	 		 0.08811
15:07:01.047:	 		 0.08811
15:07:01.047:	 		 0.08811
15:07:01.047:	 		 0.08811
15:07:01.077:	 		 0.08811
15:07:01.077:	 		 0.08811
15:07:01.077:	 		 0.08811
15:07:01.077:	 		 0.08811
15:07:01.077:	 		 0.08811
15:07:01.077:	 		 0.08811
15:07:01.077:	 		 0.08811
15:07:01.097:	 		 0.08811
15:07:01.097:	 		 0.08811
15:07:01.097:	 		 0.08811
15:07:01.117:	 		 0.08811
15:07:01.117:	 		 0.08811
15:07:01.117:	 		 0.08811
15:07:01.127:	 		 0.08811
15:07:01.127:	 		 0.08811
15:07:01.127:	 		 0.08811
15:07:01.157:	 		 0.08811
15:07:01.157:	 		 0.08811
15:07:01.157:	 		 0.08811
15:07:01.157:	 		 0.08811
15:07:01.157:	 		 0.08811
15:07:01.157:	 		 0.08811
15:07:01.157:	 		 0.08
15:07:01.177:811		 0.08811
15:07:01.177:811		 0.08811
15:07:01.177:811		 0.08811
15:07:01.187:	 		 0.08811
